,address,value
70,lat1xr0nd50rsynuf5pwqtm7jga0cycwwaaukurvxd,25000000.000000004
71,lat1xw96q6uuhnumvca3ptqjdyw3rd30aggf9mvd6t,25000000.000000004
72,lat1y2lh8vggzmh2xf5yuql3fzvm8mzv4m7n8nmhud,25000000.000000004
73,lat1yrvffu2k4z5s3js2aphqzdr62k8jgz4werj6q6,25000000.000000004
74,lat1zhpe35sffez7ndqjmk9s8v8au0n52g38cexmld,25000000.000000004
75,lat1zy206g7ssk0928y4dmxn8zvk6demgymeftxjgg,25000000.000000004
76,lat1t7dddtl7a8zvhdnjzkjnldkwmnm6ls820d2yvj,0.3822535131457489
77,lat1pe72g867w38fm0zhm5zckxqkfsp2d84p3qgx45,3929196.867292105
78,lat1venzkda467w4x8dws79yr57ny2knqrhgzf73ry,23682265.9780618
79,lat1wfcjpcsmkw69670ch4p7wa3hfnqcekyscz0zu4,0.0
80,lat197rsaxfmepuxzf7gnga3fg9hnvgnqskhrvqjke,20000000.000000004
81,lat1nlgqm403zrzapu6lpa0aeuv636yx2st292neht,0.10004824225318672
82,lat1y9p9gyjlusdpvhaz9qmfjdpkdnjxjmrw335ap6,64.56574061
83,lat1jp7k25z2ce4r5fwmjxw2slvsfz3ujr2f8jtarm,15754597.1770645
84,lat17hxk0vk2xpsrv7ggyty78vs36r2ncx9nfeu8sy,30863.26163374977
85,lat107wmd7u0a380280ecl78cr7pppa6996daruqxg,5272.322042518623
86,lat108afqanyefa559sk73ea5nj3lw207d5d4c73mn,10000000.000000002
87,lat10j5z6hc7rdgxe28hcfd95cvppckpescngl6585,10000000.000000002
88,lat12a4muauxk0rq2k8dts9asf3w3rzgrvx2u9p76x,10000000.000000002
89,lat12w4aknry8eukpsvhjw2s0eyk54slpe2s47lcva,10000000.000000002
90,lat13rkcfqgv0p08jdgv23hemkung6sgjyfje0mrmv,10000000.000000002
91,lat1483xhemv7ytylpfp8vtp4x2h6crvrj7uzh6ls5,10000000.000000002
